make,model,year,selling_price,mileage,availability,fuel,transmission,mpg,description
Maruti,Esteem Vxi - BSIII,2006,140000,43750.0,sold,Petrol,Manual,19.9,N/A
Maruti,Swift VDI BSIV,2017,600000,50226.25,in stock,Diesel,Manual,21.2,N/A
Hyundai,i20 1.2 Sportz,2012,280000,68750.0,sold,Petrol,Manual,32.1,N/A
Chevrolet,Beat Diesel LT,2012,150000,37500.0,in stock,Diesel,Manual,25.3,N/A
Chevrolet,Cruze LTZ AT,2015,650000,31250.0,sold,Diesel,Automatic,28.3,N/A
Nissan,Micra XL,2014,210000,25000.0,in stock,Petrol,Manual,21.3,N/A
BMW,5 Series 520d Luxury Line,2017,2900000,25000.0,sold,Diesel,Automatic,27.5,N/A
Chevrolet,Enjoy 1.3 TCDi LS 8,2013,425000,12500.0,sold,Diesel,Manual,21.4,N/A
Hyundai,EON Era Plus Option,2014,265000,34375.0,sold,Petrol,Manual,24.2,N/A
Fiat,Linea T Jet Emotion,2018,890000,710.0,sold,Petrol,Manual,24.0,N/A
Renault,Scala RxL,2013,365000,34375.0,sold,Petrol,Manual,34.4,N/A
Ford,Figo Petrol Titanium,2014,350000,26875.0,in stock,Petrol,Manual,24.3,N/A
Maruti,Ciaz ZDi SHVS,2016,685000,37500.0,sold,Diesel,Manual,19.7,N/A
Skoda,Rapid 1.5 TDI Ambition BSIV,2018,940000,1656.25,sold,Diesel,Manual,32.0,N/A
Mahindra,XUV500 W6 2WD,2017,1000000,25000.0,sold,Diesel,Manual,22.4,N/A
Mahindra,XUV300 W8 Option,2019,1150000,9375.0,sold,Petrol,Manual,26.5,N/A
Maruti,Ertiga SHVS ZDI,2016,450000,72476.25,sold,Diesel,Manual,31.5,N/A
Nissan,Terrano XE D,2015,590000,40625.0,sold,Diesel,Manual,22.9,N/A
Maruti,S-Cross Facelift,2017,800000,25000.0,sold,Diesel,Manual,21.2,N/A
Hyundai,i20 Magna 1.4 CRDi (Diesel),2012,385000,36250.0,in stock,Diesel,Manual,27.6,N/A
Mercedes-Benz,New C-Class C 220 CDI BE Avantgare,2013,2000000,9375.0,sold,Diesel,Automatic,29.4,N/A
Hyundai,EON Era Plus,2012,235000,33750.0,sold,Petrol,Manual,24.9,N/A
Volkswagen,Ameo 1.5 TDI Highline,2017,640000,35000.0,sold,Diesel,Manual,23.3,N/A
Maruti,Alto LX,2006,52000,75000.0,sold,Petrol,Manual,24.4,N/A
Maruti,Omni LPG CARGO BSIII W IMMOBILISER,2009,80000,56250.0,sold,LPG,Manual,26.6,N/A
Maruti,Alto LX,2012,140000,43750.0,sold,Petrol,Manual,25.3,N/A
Hyundai,Verna i (Petrol),2008,120000,56250.0,sold,Petrol,Manual,31.5,N/A
Mahindra,Renault Logan 1.5 DLS,2008,89999,133125.0,sold,Diesel,Manual,21.5,N/A
Chevrolet,Optra Magnum 2.0 LS BSIII,2012,180000,75000.0,sold,Diesel,Manual,27.3,N/A
Mahindra,Scorpio S11 BSIV,2017,1500000,12500.0,sold,Diesel,Manual,24.7,N/A
Hyundai,i20 Active 1.2 SX,2017,700000,6250.0,in stock,Petrol,Manual,29.9,N/A
Maruti,SX4 Celebration Diesel,2012,285000,50000.0,sold,Diesel,Manual,20.5,N/A
Hyundai,Grand i10 Magna,2015,390000,56250.0,in stock,Petrol,Manual,20.5,N/A
Maruti,Alto LXi BSIII,2008,125000,50000.0,sold,Petrol,Manual,20.7,N/A
Maruti,SX4 Zxi with Leather BSIII,2008,225000,37500.0,in stock,Petrol,Manual,35.0,N/A
Hyundai,i10 Era,2011,175000,86875.0,in stock,Petrol,Manual,25.7,N/A
Toyota,Innova 2.5 V Diesel 7-seater,2011,1075000,100000.0,sold,Diesel,Manual,24.9,N/A
Honda,Mobilio V i DTEC,2014,300000,93750.0,sold,Diesel,Manual,24.6,N/A
Toyota,Innova 2.5 G (Diesel) 7 Seater BS IV,2010,700000,101875.0,sold,Diesel,Manual,29.3,N/A
Tata,Indica V2 2001-2011 DLS BSIII,2009,90000,75000.0,sold,Diesel,Manual,23.8,N/A
Tata,Indica Vista TDI LS,2011,120000,75000.0,sold,Diesel,Manual,27.2,N/A
Chevrolet,Beat Diesel LS,2012,220000,62500.0,sold,Diesel,Manual,30.3,N/A
Tata,Zest Quadrajet 1.3 75PS XE,2015,300000,87500.0,sold,Diesel,Manual,18.4,N/A
Skoda,Fabia 1.2L Diesel Ambiente,2010,180000,54375.0,sold,Diesel,Manual,28.4,N/A
Maruti,800 Std,2013,170000,43750.0,sold,Petrol,Manual,23.8,N/A
Ford,Figo Petrol Titanium,2015,300000,31250.0,in stock,Petrol,Manual,26.6,N/A
Toyota,Innova 2.5 VX (Diesel) 8 Seater,2014,1050000,43750.0,sold,Diesel,Manual,34.9,N/A
Honda,Mobilio V i DTEC,2014,300000,93750.0,sold,Diesel,Manual,18.9,N/A
Hyundai,Grand i10 1.2 CRDi Asta,2018,465000,15625.0,sold,Diesel,Manual,22.4,N/A
Chevrolet,Beat Diesel LT,2011,130000,50000.0,sold,Diesel,Manual,29.3,N/A
Datsun,GO Plus T Option Petrol,2018,434999,6250.0,in stock,Petrol,Manual,22.4,N/A
Hyundai,Grand i10 1.2 Kappa Asta,2018,500000,20000.0,in stock,Petrol,Manual,24.1,N/A
Maruti,Omni MPI STD BSIV,2018,200000,6250.0,sold,Petrol,Manual,26.7,N/A
Maruti,Baleno Alpha 1.2,2017,625000,32500.0,sold,Petrol,Manual,23.0,N/A
Ford,Fiesta Classic 1.4 SXI Duratorq,2006,110000,75000.0,sold,Diesel,Manual,35.0,N/A
Hyundai,Elite i20 Asta Option BSIV,2019,800000,7025.0,in stock,Petrol,Manual,19.3,N/A
Hyundai,Grand i10 CRDi Magna,2017,490000,41250.0,sold,Diesel,Manual,27.3,N/A
Maruti,Ertiga SHVS ZDI,2017,880000,40000.0,sold,Diesel,Manual,24.4,N/A
Hyundai,Santro Xing GL Plus,2013,290000,30625.0,in stock,Petrol,Manual,26.6,N/A
Tata,Sumo GX TC 7 Str BSIII,2006,115999,62500.0,sold,Diesel,Manual,25.2,N/A
Renault,KWID RXT,2018,360000,16562.5,sold,Petrol,Manual,25.1,N/A
Maruti,800 AC,2002,65000,62500.0,sold,Petrol,Manual,24.0,N/A
Maruti,Vitara Brezza LDi Option,2017,685000,45000.0,sold,Diesel,Manual,29.8,N/A
Honda,Jazz S,2009,300000,31250.0,in stock,Petrol,Manual,20.3,N/A
Hyundai,i20 1.4 Sportz,2017,680000,27500.0,in stock,Diesel,Manual,22.4,N/A
Maruti,Ertiga SHVS ZDI Plus,2017,1000000,37500.0,sold,Diesel,Manual,32.5,N/A
Tata,Sumo SE Plus BSIII,2002,100000,75000.0,sold,Diesel,Manual,26.8,N/A
Mahindra,Xylo E4,2010,160000,81250.0,in stock,Diesel,Manual,30.0,N/A
Maruti,Swift ZDi BSIV,2017,450000,43750.0,in stock,Diesel,Manual,25.2,N/A
Maruti,Ertiga VXI,2014,600000,12500.0,sold,Petrol,Manual,22.9,N/A
Hyundai,i20 1.4 Magna ABS,2009,180000,37500.0,sold,Diesel,Manual,27.6,N/A
Maruti,Alto LXi,2007,100000,121875.0,in stock,Petrol,Manual,30.6,N/A
Maruti,Alto LXi,2010,120000,56250.0,sold,Petrol,Manual,21.8,N/A
Hyundai,Getz GL,2006,130000,50000.0,sold,Petrol,Manual,32.0,N/A
Maruti,Wagon R LX BS IV,2011,160000,96875.0,sold,Petrol,Manual,25.2,N/A
Mahindra,Bolero Power Plus SLX,2019,860000,21875.0,sold,Diesel,Manual,29.4,N/A
Hyundai,i20 1.2 Spotz,2018,650000,12500.0,sold,Petrol,Manual,31.7,N/A
Maruti,Wagon R LXI Minor,2010,100000,50000.0,sold,Petrol,Manual,33.9,N/A
Maruti,Alto 800 VXI,2017,282000,12500.0,sold,Petrol,Manual,31.3,N/A
Hyundai,i20 Asta (o),2009,300000,31250.0,sold,Petrol,Manual,33.5,N/A
Hyundai,i20 Asta,2010,270000,68750.0,in stock,Petrol,Manual,28.0,N/A
Hyundai,Verna 1.6 SX CRDi (O),2013,550000,18125.0,in stock,Diesel,Manual,25.9,N/A
